timestamp,consent,birthplace,address,gender,parent_age,education,occupation,parent1_L1,eng_und,eng_spk,eng_read,eng_write,fr_und,fr_spk,fr_read,fr_write,parent1_OL1,ol1_und,ol1_spk,ol1_read,ol1_write,parent1_OL2,ol2_und,ol2_spk,ol2_read,ol2_write,parent1_OL3,ol3_und,ol3_spk,ol3_read,ol3_write,child_dob,child_sex,langdevissue_yn,langdevissue_details,family_config,oldersib_yn,sib1_dob,sib2_dob,sib3_dob,sibX_dobs,child_languages,eng_freq,fr_freq,ol1_used,ol1_freq,ol2_used,ol2_freq,ol3_used,ol3_freq,between_caregivers,caregiver2_used,view_betterlearner,view_reasoning,view_schoolsuccess,view_heritage,view_employment,view_better_lang_learning,view_comm_family,view_compete_jobs,view_full_comm_member,view_success_workworld,view_flex_think,view_belong_social,concern_general,concern_exposure,concern_help,concern_challenging,concern_confused,concern_distinguish,concern_shrt_delay,concern_lng_prob,concern_prep_school,concern_fluent,id,clean_dobs
2020/09/01 4:30:18 pm CET,I agree,In Quebec,Chateauguay,Female,42,Cegep or DEP (or equivalent),Preposee aux beneficiere,English,5,5,5,5,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jul-17,Female,No,NA,With a partner who lives in the same household,Yes,Aug-09,NA,NA,NA,English;French,5,5,NA,NA,NA,NA,NA,NA,English;French,English;French,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,3,3,3,5,3,3,1,eng_2,7/1/2017
2020/09/01 4:32:11 pm CET,I agree,In Quebec,Montreal,Female,26,Cegep or DEP (or equivalent),Aviation,French,5,5,5,5,5,5,5,5,French,5,5,5,5,English,5,5,5,5,Spanish,3,2,4,3,Aug-19,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;One language other than English or French,5,2,Spanish,4,NA,NA,NA,NA,English;French;One language other than English or French,English;One language other than English or French,5,5,5,5,5,5,5,5,5,5,5,5,1,5,2,1,1,1,1,2,2,2,eng_3,8/1/2019
2020/09/01 5:04:09 pm CET,I agree,In Quebec,Montreal,Female,33,Bachelor’s degree (or equivalent),Credit analyst,English,5,5,5,5,5,5,5,5,Italian,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mar-19,Male,No,NA,With a partner who lives in the same household,Yes,Nov-16,NA,NA,NA,English;French,4,4,NA,NA,NA,NA,NA,NA,English;French,French,5,3,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,1,5,1,4,3,eng_4,3/1/2019
2020/09/01 5:17:00 pm CET,I agree,Outside of Canada,Poland,Female,40,Bachelor’s degree (or equivalent),Graduate Program Coordinator,Polish,4,4,5,4,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mar-17,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English,5,2,English,5,Polish,3,French,2,English,English;French;One language other than English or French,4,3,4,4,5,4,5,5,5,5,5,4,1,2,2,1,1,1,1,1,1,1,eng_5,3/1/2017
2020/09/01 5:34:25 pm CET,I agree,Outside of Canada,xxxxx,Male,37,Doctoral degree (PhD or MD),prof,Austrian German,5,5,5,5,3,2,4,3,German - Upper Austrian dialect,5,4,5,5,Standard Austrian German,5,5,5,5,NA,NA,NA,NA,NA,Mar-16,Other,No,NA,With a partner who lives in the same household,Yes,NA,NA,NA,NA,English;Several languages other than English or French,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eng_6,3/1/2016
2020/09/01 5:40:57 pm CET,I agree,Outside of Canada,Repentigny,Female,30,Bachelor’s degree (or equivalent),Teacher/educator,French,5,5,5,5,5,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Feb-18,Male,No,NA,With a partner who lives in the same household,Yes,Sep-16,NA,NA,NA,English;French;One language other than English or French,4,5,Haitian creole,2,NA,NA,NA,NA,English;French;One language other than English or French,French;One language other than English or French,4,3,4,5,5,5,5,5,5,5,5,5,1,5,5,1,3,3,2,1,3,4,eng_7,2/1/2018
2020/09/01 6:49:05 pm CET,I agree,Outside of Canada,Cote Saint Luc,Female,38,Bachelor’s degree (or equivalent),Admin Coordinator,English; Cantonese,5,5,5,5,4,4,3,3,Cantonese,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sep-18,Female,I am not sure,Twins,With a partner who lives in the same household,Yes,Jul-10,NA,NA,NA,English;French,5,1,NA,NA,NA,NA,NA,NA,English,English,5,5,5,4,5,4,5,5,5,5,4,5,2,2,5,3,2,3,5,3,2,5,eng_8,9/1/2018
2020/09/01 8:14:14 pm CET,I agree,Outside of Canada,Montreal,Male,33,Doctoral degree (PhD or MD),Academic researcher,English,5,5,5,5,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jun-18,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French,4,3,NA,NA,NA,NA,NA,NA,English;French,English;French,3,3,5,5,5,4,1,5,5,5,4,4,1,1,2,1,1,1,2,1,1,3,eng_9,6/1/2018
2020/09/01 8:16:21 pm CET,I agree,Outside of Canada,Montréal,Female,42,Doctoral degree (PhD or MD),NA,English,5,5,5,5,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apr-17,Female,No,NA,With a partner who lives in the same household,Yes,May-12,NA,NA,NA,English;French,5,2,NA,NA,NA,NA,NA,NA,English,English,2,2,5,5,5,4,1,4,5,5,2,5,1,3,5,1,1,1,1,1,3,3,eng_10,4/1/2017
2020/09/01 8:18:57 pm CET,I agree,In Quebec,Pointe Claire,Female,36,Master’s degree (or equivalent),Nurse,English,5,5,5,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May-17,Female,No,NA,With a partner who lives in the same household,Yes,May-12,Apr-14,NA,NA,English;French,5,3,NA,NA,NA,NA,NA,NA,English,English,5,3,4,3,5,4,1,5,5,5,4,4,2,4,4,4,4,4,4,2,1,2,eng_11,5/1/2017
