timestamp,consent,birthplace,address,gender,parent_age,education,occupation,parent1_L1,eng_und,eng_spk,eng_read,eng_write,fr_und,fr_spk,fr_read,fr_write,parent1_OL1,ol1_und,ol1_spk,ol1_read,ol1_write,parent1_OL2,ol2_und,ol2_spk,ol2_read,ol2_write,parent1_OL3,ol3_und,ol3_spk,ol3_read,ol3_write,child_dob,child_sex,langdevissue_yn,langdevissue_details,family_config,oldersib_yn,sib1_dob,sib2_dob,sib3_dob,sibX_dobs,child_languages,eng_freq,fr_freq,ol1_used,ol1_freq,ol2_used,ol2_freq,ol3_used,ol3_freq,between_caregivers,caregiver2_used,view_betterlearner,view_reasoning,view_schoolsuccess,view_heritage,view_employment,view_better_lang_learning,view_comm_family,view_compete_jobs,view_full_comm_member,view_success_workworld,view_flex_think,view_belong_social,concern_general,concern_exposure,concern_help,concern_challenging,concern_confused,concern_distinguish,concern_shrt_delay,concern_lng_prob,concern_prep_school,concern_fluent,id,clean_dobs
2020/09/01 3:22:54 pm CET,J'accepte,Au Québec,Chicoutimi,Féminin,36,Doctorat (PhD ou MD),Professeure,français,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nov-18,Féminin,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Oui,Mar-15,NA,NA,NA,Anglais;Français,3,4,NA,NA,NA,NA,NA,NA,Anglais,Anglais,4,4,4,5,5,4,5,5,2,5,3,3,3,5,1,2,1,1,5,3,1,4,fr_1,11/1/2018
2020/09/01 4:02:23 pm CET,J'accepte,Au Québec,Gatineau,Féminin,42,Doctorat (PhD ou MD),Professeure adjointe,Français,5,4,4,3,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Feb-17,Féminin,Non,NA,"Seule la majorité du temps, mais visites périodiques du père qui habite dans un autre foyer & autre province",Non,NA,NA,NA,NA,Anglais;Français;Une autre langue que l’anglais ou le français,3,4,Espagnol,2,NA,NA,NA,NA,Anglais,Anglais;Français,3,3,3,5,4,4,5,4,3,4,4,4,1,4,4,2,2,1,1,1,1,3,fr_2,2/1/2017
2020/09/01 4:48:09 pm CET,J'accepte,Au Québec,Magog,Féminin,35,Maîtrise (ou équivalent),Chargée de cours et doctorante,français,5,4,5,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jan-17,Masculin,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Oui,Apr-14,NA,NA,NA,Français;Une autre langue que l’anglais ou le français,1,4,Portugais,2,NA,NA,NA,NA,Anglais;Français;Une langue autre que l’anglais ou le français,Français;Une langue autre que l’anglais ou le français,5,3,4,5,4,5,5,2,5,2,4,5,1,5,2,1,1,1,1,1,1,5,fr_3,1/1/2017
2020/09/01 5:41:47 pm CET,J'accepte,Au Québec,Montréal,Féminin,33,Maîtrise (ou équivalent),Prof de cégep,Français,5,4,3,3,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-19,Féminin,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Non,NA,NA,NA,NA,Anglais;Français,1,5,NA,NA,NA,NA,NA,NA,Anglais,Anglais,4,4,4,5,5,5,5,5,4,5,5,4,4,2,1,2,4,3,3,1,1,2,fr_4,8/1/2019
2020/09/01 7:40:18 pm CET,J'accepte,À l’extérieur du Canada,Gatineau,Féminin,33,Maîtrise (ou équivalent),Fonctionnaire Fédérale,Français et lingala,5,5,5,4,5,5,5,5,Lingala,5,4,3,3,Kikongo,4,4,3,3,Néerlandais,2,2,2,1,Mar-18,Masculin,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Oui,Dec-15,NA,NA,NA,Anglais;Français;Une autre langue que l’anglais ou le français,3,5,Lingala,2,NA,NA,NA,NA,Français,Anglais;Français,4,5,3,5,5,5,5,5,5,5,5,5,2,5,5,1,1,1,1,1,1,5,fr_5,3/1/2018
2020/09/01 8:36:12 pm CET,J'accepte,Au Québec,Deux-montagnes,Féminin,34,Maîtrise (ou équivalent),Maman a la maison,Français,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jun-20,Masculin,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Oui,Dec-17,NA,NA,NA,Anglais;Français,2,4,NA,NA,NA,NA,NA,NA,Anglais;Français,Anglais;Français,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,1,3,2,2,1,1,1,fr_6,6/1/2020
2020/09/01 8:37:36 pm CET,J'accepte,Au Québec,Laval,Féminin,39,Baccalauréat (ou équivalent),Spécialiste des documents,Français,5,5,5,5,5,5,5,5,Créole haïtien,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jan-19,Masculin,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Oui,May-16,NA,NA,NA,Anglais;Français,4,4,NA,NA,NA,NA,NA,NA,Anglais;Français,Anglais;Français,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,fr_7,1/1/2019
2020/09/01 8:38:51 pm CET,J'accepte,À l’extérieur du Canada,montréal,Féminin,42,Doctorat (PhD ou MD),chargé de cours à l'université,bulgar,5,5,5,5,5,5,5,5,bulgar,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec-16,Féminin,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Oui,Feb-07,Jan-11,NA,NA,Anglais;Français;Plusieurs langues autres que le français ou l’anglais,2,4,bulgar,3,farsi,2,NA,NA,Anglais;Français,Français;Une langue autre que l’anglais ou le français,5,5,5,5,5,5,5,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,fr_8,12/1/2016
2020/09/01 8:56:27 pm CET,J'accepte,Au Québec,Montréal,Féminin,46,Baccalauréat (ou équivalent),Coordonnatrice de prod tele,français,5,5,5,5,5,5,5,5,Arabe,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Feb-17,Féminin,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Non,NA,NA,NA,NA,Anglais;Français,5,5,NA,NA,NA,NA,NA,NA,Anglais;Français,Une langue autre que l’anglais ou le français,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,2,1,1,1,2,1,fr_11,2/1/2017
2020/09/01 9:51:05 pm CET,J'accepte,Au Québec,Repentigny,Féminin,38,Baccalauréat (ou équivalent),sans emploi,anglais; italien,5,5,5,4,4,4,5,4,italien,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sep-17,Masculin,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Non,NA,NA,NA,NA,Anglais;Français,2,5,NA,NA,NA,NA,NA,NA,Français,Français,4,4,5,3,5,5,5,5,2,5,4,2,2,3,2,1,2,2,1,1,1,2,fr_12,9/1/2017
