oldname,newname
Timestamp,timestamp
consent,consent
1. Where were you born? Please tick the appropriate box:,birthplace
2. Where in Quebec do you currently live? Please state the name of the town or city:,address
3. What is your gender? Please tick the appropriate box:,gender
4. How old are you? Please state the number of years:,parent_age
5. What is your highest qualification? Please tick the appropriate box:,education
"6. What is your occupation? Please state your job title. If you are a student / unemployed / retired, please say so:",occupation 
"7. What do you consider to be your mother tongue(s) – that is, the language(s) you learned at home as a child, and that you still understand? Please write the name(s) of the language(s) and use a semicolon between each language and the next:",parent1_L1
Understanding:English,eng_und
Speaking:English,eng_spk
Reading:English,eng_read
Writing:English,eng_write
Understanding:French,fr_und
Speaking:French,fr_spk
Reading:French,fr_read
Writing:French,fr_write
10. Language 1 - please state the name of the language:,parent1_OL1
Understanding:,ol1_und
Speaking:,ol1_spk
Reading:,ol1_read
Writing:,ol1_write
"11.	Language 2 - please state the name of the language:",parent1_OL2
Understanding:,ol2_und
Speaking:,ol2_spk
Reading:,ol2_read
Writing:,ol2_write
"12.	Language 3 - please state the name of the language:",parent1_OL3
Understanding:,ol3_und
Speaking:,ol3_spk
Reading:,ol3_read
Writing:,ol3_write
"13. When was your child born? Please write the month and the year as MM/YYYY (e.g. May 2019 would be 05/2019). If you have more than one child, please answer these questions with regard to your 𝘆𝗼𝘂𝗻𝗴𝗲𝘀𝘁 child.",child_dob
14. What is your child’s sex? Please tick the appropriate box:,child_sex
15. Does your child have any developmental or health issues that might affect their language development? Please tick the appropriate box:,langdevissue_yn
"If you answered “Yes"" or ""I am not sure"", please provide details:",langdevissue_details
16. How are you raising your child? Please tick the appropriate box:,family_config
17. Does your child have any 𝗼𝗹𝗱𝗲𝗿 siblings that live in the same household? Please tick the appropriate box.,oldersib_yn
Sibling 1:,sib1_dob
Sibling 2:,sib2_dob
Sibling 3:,sib3_dob
Further siblings:,sibX_dobs
18. With which languages is your child being raised? Please tick all the boxes that apply:,child_languages
