mtl_arr,mtl_neigh,montreal_mun,greater_mtl_mun,quebec_places
Ahuntsic,Anjou ,Baie-d'Urfé,"	Boucherville",Abitibi
Cartierville,Ahuntsic ,Beaconsfield,Brossard,Abitibi-Ouest
Anjou,Ancien quartier juif de Montréal ,Côte Saint-Luc,Longueuil,Abitibi-Témiscamingue
Côte-des-Neiges,Beaurivage ,Dollard-des-Ormeaux,Saint-Lambert,Acton
Notre-Dame-de-Grâce,Bordeaux-Cartierville ,Dorval,Saint-Bruno-de-Montarville,Acton Vale
NDG,Bois-de-Liesse ,Hampstead,Deux-Montagnes,Alma
Lachine,Bois-Franc ,Kirkland,Oka,Amos
LaSalle,Cap-Saint-Jacques ,L'Île-Dorval,Pointe-Calumet,Amqui
Le Plateau-Mont-Royal,Cartierville ,Montreal,Saint-Eustache,Antoine-Labelle
Le Sud-Ouest,Cecil-P.-Newman ,Montréal-Est,Saint-Joseph-du-Lac,Argenteuil
L’Île-Bizard,Centre (Anjou) ,Montreal West,Sainte-Marthe-sur-le-Lac,Arthabaska
Sainte-Geneviève,Centre (Montréal-Nord) ,Mount Royal,Saint-Placide,Avignon
Mercier,Centre-Nord ,Pointe-Claire,Blainville,Baie-Comeau
Hochelaga-Maisonneuve,Centre-Sud ,Sainte-Anne-de-Bellevue,Bois-des-Filion,Baie-D'Urfé
Montréal-Nord,Chameran-Lebeau,Senneville,Lorraine,Baie-Saint-Paul
Outremont,Montpellier ,Westmount,Rosemère,Barkmere
Pierrefonds-Roxboro,Champlain,,Sainte-Anne-des-Plaines,Bas-Saint-Laurent
Rivière-des-Prairies,L’Île-des-Sœurs ,,Sainte-Thérèse,Beaconsfield
Pointe-aux-Trembles,Cité-Jardin,,Mirabel,Beauce-Sartigan
Rosemont,Claude-Ryan ,,Gore,Beauceville
La Petite-Patrie,Côte-de-Liesse ,,Saint-Colomban,Beauharnois
Saint-Laurent,Côte-Saint-Antoine ,,Saint-Jerome,Beauharnois-Salaberry
Saint-Léonard,Côte-Saint-Paul ,,Charlemagne,Beaupré
Verdun,Côte-des-Neiges ,,L'assomption,Bécancour
Ville-Marie,Crémazie ,,L'Épiphanie,Bedford
Villeray,Darlington ,,Repentigny,Belleterre
Saint-Michel,De Lorimier ,,Saint-Sulpice,Beloeil
Parc-Extension,Denis-Benjamin-Viger ,,Les Moulins,Berthierville
Mile End,Desmarchais-Crawford ,,D'Autray,Blainville
,du Canal ,,Montcalm,Boisbriand
,Du Collège/Hodge ,,Montérégie,Bois-des-Filion
,Dupéré ,,Mascouche,Bonaventure
,Dutrisac ,,Terrebonne,Boucherville
,Édouard-Montpetit ,,Lavaltrie,Brome-Missisquoi
,Est (Anjou) ,,Saint-Lin–Laurentides,Bromont
,Est (Montréal-Nord) ,,Beauharnois-Salaberry,Brossard
,Étienne-Desmarteau ,,La Vallée-du-Richelieu,Brownsburg-Chatham
,Faubourg à m'lasse ,,Beauharnois,Candiac
,Faubourg des Récollets ,,Beloeil,Caniapiscau
,Faubourg Saint-Laurent ,,Carignan,Cap-Chat
,Fort-Rolland ,,Chambly,Capitale-Nationale
,François-Perrault ,,McMasterville,Cap-Santé
,Gabriel-Sagard ,,Mont-Saint-Hilaire,Carignan
,Goose Village ,,Otterburn Park,Carleton-sur-Mer
,Grande-Prairie ,,Saint-Basile-le-Grand,Causapscal
,Grenet ,,Saint-Jean-Baptiste,Centre-du-Québec
,Griffintown ,,Saint-Mathieu-de-Beloeil,Chambly
,Guybourg ,,Calixa-Lavallée,Chandler
,Hochelaga ,,Contrecœur,Chapais
,Hochelaga-Maisonneuve ,,Saint-Amable,Charlemagne
,Île-des-Sœurs ,,Sainte-Julie,Charlevoix
,Jacques-Bizard ,,Varennes,Charlevoix-Est
,Jeanne-Mance ,,Verchères,Châteauguay
,Jeanne-Sauvé ,,Candiac,Château-Richer
,J.-Émery-Provost ,,Châteauguay,Chaudière-Appalaches
,Joseph-Beaubien ,,Delson,Chibougamau
,Lachine-Ouest ,,La Prairie,Clermont
,La Petite-Patrie ,,Léry,Coaticook
,La Pointe-aux-Prairies ,,Sainte-Catherine,Compton
,La Visitation ,,Saint-Constant,Contrecoeur
,L'Île-Bizard–Sainte-Geneviève ,,Saint-Isidore,Cookshire-Eaton
,Longue-Pointe ,,Saint-Mathieu,Côte Saint-Luc
,Lorimier ,,Saint-Philippe,Coteau-du-Lac
,Louis-Hébert ,,Richelieu,Côte-Nord
,Louis-Riel ,,Saint-Mathias-sur-Richelieu,Cowansville
,Loyola ,,Coteau-du-Lac,Danville
,Maisonneuve ,,Hudson,D'Autray
,Maisonneuve–Longue-Pointe ,,Les Cèdres,Daveluyville
,Marc-Aurèle-Fortin ,,Les Coteaux,Dégelis
,Marconi-Alexandra,,L'Île-Cadieux,Delson
,Marie-Clarac ,,L'Île-Perrot,Desbiens
,Marie-Victorin ,,Notre-Dame-de-l'Île-Perrot,Deux-Montagnes
,Mercier ,,Pincourt,Disraeli
,Mercier-Est ,,Pointe-des-Cascades,Dolbeau-Mistassini
,Mercier-Ouest ,,Saint-Lazare,Dollard-des-Ormeaux
,Mile End ,,Saint-Zotique,Donnacona
,Milton Parc ,,Terrasse-Vaudreuil,Dorval
,Montagne ,,Vaudreuil-Dorion,Drummond
,Nicolas-Viel ,,Vaudreuil-sur-le-Lac,Drummondville
,Nord-Ouest de l'île de Montréal ,,Saint-Jean-sur-Richelieu,Dunham
,Norman-McLaren ,,Le Haut-Richelieu,Duparquet
,Notre-Dame-de-Grâce ,,Vaudreuil-Soulanges,East Angus
,Nouveau-Bordeaux ,,Rouville,Estérel
,Montréal-Nord,,Marguerite-D'Youville,Estrie
,Outremont ,,Roussillon,Farnham
,Ovide-Clermont ,,Saint Hubert,Fermont
,Parc-Extension ,,Greenfield Park,Forestville
,Parc-Jarry ,,,Fossambault-sur-le-Lac
,Parc-Kent ,,,Gaspé
,Parc-Lafontaine ,,,Gaspésie–Îles-de-la-Madeleine
,Parc-Laurier ,,,Gatineau
,Père-Marquette ,,,Gracefield
,Peter-McGill ,,,Granby
,Petite-Bourgogne ,,,Grande-Rivière
,Petite-Côte ,,,Hampstead
,Little Italy,,,Hudson
,Petite Italie,,,Huntingdon
,Petit Maghreb,,,Joliette
,Pierrefonds,,,Kamouraska
,Pierrefonds-Est ,,,Kingsey Falls
,Pierrefonds-Ouest ,,,Kirkland
,Pierre-Foretier ,,,La Côte-de-Beaupré
