timestamp,consent,birthplace,address,gender,parent_age,education,occupation,parent1_L1,eng_und,eng_spk,eng_read,eng_write,fr_und,fr_spk,fr_read,fr_write,parent1_OL1,ol1_und,ol1_spk,ol1_read,ol1_write,parent1_OL2,ol2_und,ol2_spk,ol2_read,ol2_write,parent1_OL3,ol3_und,ol3_spk,ol3_read,ol3_write,child_dob,child_sex,langdevissue_yn,langdevissue_details,family_config,oldersib_yn,sib1_dob,sib2_dob,sib3_dob,sibX_dobs,child_languages,eng_freq,fr_freq,ol1_used,ol1_freq,ol2_used,ol2_freq,ol3_used,ol3_freq,between_caregivers,caregiver2_used,view_betterlearner,view_reasoning,view_schoolsuccess,view_heritage,view_employment,view_better_lang_learning,view_comm_family,view_compete_jobs,view_full_comm_member,view_success_workworld,view_flex_think,view_belong_social,concern_general,concern_exposure,concern_help,concern_challenging,concern_confused,concern_distinguish,concern_shrt_delay,concern_lng_prob,concern_prep_school,concern_fluent,concern_open,id,clean_dobs,age_days_at_test,clean_address,in_MTL,great_MTL,in_QC,out_QC,has_en,has_fr,has_OL,has_OL1,has_OL2,has_OL3,num_OL_caregiver1,caregiver2_OLonly,mono_en,mono_fr,mono_OL,has_DL
2020/09/01 4:30:18 pm CET,I agree,In Quebec,Chateauguay,Female,42,Cegep or DEP (or equivalent),Preposee aux beneficiere,English,5,5,5,5,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/2017,Female,No,NA,With a partner who lives in the same household,Yes,08 /2009,NA,NA,NA,English;French,5,5,NA,NA,NA,NA,NA,NA,English;French,English;French,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,3,3,3,5,3,3,1,Taking longer to speak properly,eng_2,2017-07-01,1158,chateauguay,FALSE,TRUE,FALSE,FALSE,1,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,0
2020/09/01 4:32:11 pm CET,I agree,In Quebec,Montreal,Female,26,Cegep or DEP (or equivalent),Aviation,French,5,5,5,5,5,5,5,5,French,5,5,5,5,English,5,5,5,5,Spanish,3,2,4,3,08/2019,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;One other language,5,2,Spanish,4,NA,NA,NA,NA,English;French;One language other than English or French,English;One other language,5,5,5,5,5,5,5,5,5,5,5,5,1,5,2,1,1,1,1,2,2,2,I have no concerns,eng_3,2019-08-01,397,montreal,TRUE,FALSE,FALSE,FALSE,1,0,1,1,0,0,1,0,FALSE,FALSE,FALSE,0
2020/09/01 5:04:09 pm CET,I agree,In Quebec,Montreal,Female,33,Bachelor’s degree (or equivalent),Credit analyst,English,5,5,5,5,5,5,5,5,Italian,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/2019,Male,No,NA,With a partner who lives in the same household,Yes,11/2016,NA,NA,NA,English;French,4,4,NA,NA,NA,NA,NA,NA,English;French,French,5,3,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,1,5,1,4,3,"I noticed with my eldest that he was  slower to start talking at the beginning (being exposed to 2 languages at the same time), but he is now speaking pretty well in both languages (DOB 11/2016). I have that same worry for my you youngest but I hope that he will develop his language skills just as his older brother has.",eng_4,2019-03-01,550,montreal,TRUE,FALSE,FALSE,FALSE,1,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,0
2020/09/01 5:40:57 pm CET,I agree,Outside of Canada,Repentigny,Female,30,Bachelor’s degree (or equivalent),Teacher/educator,French,5,5,5,5,5,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/2018,Male,No,NA,With a partner who lives in the same household,Yes,09/2016,NA,NA,NA,English;French;One other language,4,5,Haitian creole,2,NA,NA,NA,NA,English;French;One language other than English or French,French;One other language,4,3,4,5,5,5,5,5,5,5,5,5,1,5,5,1,3,3,2,1,3,4,I worry that it may hinder their learning in school knowing that the province we live in is very pro French and not very supportive of bilingualism or knowing multiple languages,eng_7,2018-02-01,943,repentigny,FALSE,TRUE,FALSE,FALSE,1,1,1,0,0,0,0,0,FALSE,FALSE,FALSE,0
2020/09/01 8:14:14 pm CET,I agree,Outside of Canada,Montreal,Male,33,Doctoral degree (PhD or MD),Academic researcher,English,5,5,5,5,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/2018,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French,4,3,NA,NA,NA,NA,NA,NA,English;French,English;French,3,3,5,5,5,4,1,5,5,5,4,4,1,1,2,1,1,1,2,1,1,3,NA,eng_9,2018-06-01,823,montreal,TRUE,FALSE,FALSE,FALSE,1,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,0
2020/09/01 8:18:57 pm CET,I agree,In Quebec,Pointe Claire,Female,36,Master’s degree (or equivalent),Nurse,English,5,5,5,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/2017,Female,No,NA,With a partner who lives in the same household,Yes,05/2012,04/2014,NA,NA,English;French,5,3,NA,NA,NA,NA,NA,NA,English,English,5,3,4,3,5,4,1,5,5,5,4,4,2,4,4,4,4,4,4,2,1,2,NA,eng_11,2017-05-01,1219,pointe claire,TRUE,FALSE,FALSE,FALSE,1,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,0
2020/09/01 8:21:58 pm CET,I agree,In Quebec,Montreal,Female,33,Master’s degree (or equivalent),Musician,English,5,5,5,5,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/2018,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French,5,3,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,5,5,5,5,5,5,5,5,5,1,3,1,1,1,1,1,1,1,1,"We speak more english than french at home so I'm slightly worried that she'll take longer to pick up french, but it's not something that keeps me up at night!",eng_13,2018-04-01,884,montreal,TRUE,FALSE,FALSE,FALSE,1,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,0
2020/09/01 8:26:44 pm CET,I agree,In Quebec,Cote saint luc,Female,36,Bachelor’s degree (or equivalent),Product development director,English,5,5,5,5,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/2017,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French;One other language,5,3,Spanish,3,NA,NA,NA,NA,English,English;One other language,5,4,5,5,4,3,5,5,5,4,1,5,1,4,4,1,1,1,1,1,1,1,NA,eng_14,2017-09-01,1096,cote saint luc,TRUE,FALSE,FALSE,FALSE,1,1,1,1,0,0,1,0,FALSE,FALSE,FALSE,0
2020/09/01 8:28:20 pm CET,I agree,In Quebec,Montreal,Female,30,Doctoral degree (PhD or MD),Family physician,Spanish;Portuguese,5,5,5,5,5,5,5,5,Spanish,5,4,3,3,Portuguese,5,4,4,3,NA,NA,NA,NA,NA,10/2017,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French;Several other languages,2,2,Spanish,4,Portuguese,2,NA,NA,English,English,5,4,5,5,4,5,5,4,5,5,4,4,1,4,3,1,2,1,2,1,1,4,"With the presence of several languages, it is difficult to dedicate enough time to each to develop the kind of proficiency that a one or two-language speaker would have. In addition, my own Spanish and Portuguese are not as strong as my English and French and I worry about the limited vocabulary and potential mistakes I might make in those languages.",eng_15,2017-10-01,1066,montreal,TRUE,FALSE,FALSE,FALSE,1,0,1,1,0,0,1,0,FALSE,FALSE,FALSE,0
2020/09/01 8:28:27 pm CET,I agree,Outside of Canada,Pointe-Claire,Female,35,Master’s degree (or equivalent),Primary school teacher,Russian,5,4,4,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/2017,Male,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French;One other language,1,1,German,5,NA,NA,NA,NA,English,French,4,4,4,5,5,4,5,5,5,5,5,5,1,3,1,1,2,2,3,1,1,3,I worry that my child will have no mother tongue. That he speaks all 3 languages but not very detailed,eng_16,2017-10-01,1066,pointe claire,TRUE,FALSE,FALSE,FALSE,0,1,1,1,0,0,1,0,FALSE,FALSE,FALSE,0
