timestamp,consent,birthplace,address,gender,parent_age,education,occupation,parent1_L1,eng_und,eng_spk,eng_read,eng_write,fr_und,fr_spk,fr_read,fr_write,parent1_OL1,ol1_und,ol1_spk,ol1_read,ol1_write,parent1_OL2,ol2_und,ol2_spk,ol2_read,ol2_write,parent1_OL3,ol3_und,ol3_spk,ol3_read,ol3_write,child_dob,child_sex,langdevissue_yn,langdevissue_details,family_config,oldersib_yn,sib1_dob,sib2_dob,sib3_dob,sibX_dobs,child_languages,eng_freq,fr_freq,ol1_used,ol1_freq,ol2_used,ol2_freq,ol3_used,ol3_freq,between_caregivers,caregiver2_used,view_betterlearner,view_reasoning,view_schoolsuccess,view_heritage,view_employment,view_better_lang_learning,view_comm_family,view_compete_jobs,view_full_comm_member,view_success_workworld,view_flex_think,view_belong_social,concern_general,concern_exposure,concern_help,concern_challenging,concern_confused,concern_distinguish,concern_shrt_delay,concern_lng_prob,concern_prep_school,concern_fluent,concern_open,id,clean_dobs,age_days_at_test,clean_address,in_MTL,great_MTL,in_QC,out_QC,has_en,has_fr,has_OL,has_OL1,has_OL2,has_OL3,num_OL_caregiver1,caregiver2_OLonly,mono_en,mono_fr,mono_OL,has_DL
2020/09/01 4:02:23 pm CET,J'accepte,Au Québec,Gatineau,Female,42,Doctorat (PhD ou MD),Professeure adjointe,Français,5,4,4,3,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/2017,Female,Non,NA,"Seule la majorité du temps, mais visites périodiques du père qui habite dans un autre foyer & autre province",Non,NA,NA,NA,NA,English;French;One other language,3,4,espagnol,2,NA,NA,NA,NA,Anglais,English;French,3,3,3,5,4,4,5,4,3,4,4,4,1,4,4,2,2,1,1,1,1,3,"J'aurais souhaité l'exposer davantage à l'anglais et surtout à l'espagnol, mais le français a rapidement pris plus d'espace que les autres langues. Son refus de parler espagnol vient souvent du fait qu'elle comprend moins bien et ça la frustre, elle préfère que je lui parle en français. Le peu d'interactions à l'extérieur de la maison en espagnol nuit aussi au développement de cette langue, car elle y voit moins d'intérêt, comparativement à l'anglais qui est une langue de sa famille et qu'elle entend plus souvent autour d'elle. En anglais, elle aurait pu, à ce point, parler davantage si je l'avais exposée et amenée à parler plus souvent dans cette langue. Je remarque quand même son intérêt pour cette langue et sa prise de risque. Elle essaie souvent de dire des mots en anglais en ""anglicisant"" ses mots français. Enfin, c'est certains que je me sens moins compétente en espagnol et en anglais pour lui montrer ses langues qu'en français, mais pas suffisamment pour m'empêcher de le faire. Dans l'ensemble, je ne voulais pas nous mettre une pression importante sur nos choix linguistiques ou sur le niveau de compétence attendu, Je tente de trouver un équilibre pour favoriser l'usage des langues dans le plaisir et pour respecter ses propres choix et préférences. Elle a toute sa vie pour développer ses compétences linguistiques et de choisir les langues qu'elle parlera, alors je ne suis pas trop inquiète.",fr_2,2017-02-01,1308,gatineau,FALSE,FALSE,TRUE,FALSE,1,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,0
2020/09/01 4:48:09 pm CET,J'accepte,Au Québec,Magog,Female,35,Maîtrise (ou équivalent),Chargée de cours et doctorante,français,5,4,5,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/2017,Male,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Oui,04/2014,NA,NA,NA,French;One other language,1,4,portugais,2,NA,NA,NA,NA,Anglais;Français;Une langue autre que l’anglais ou le français,French;One other language,5,3,4,5,4,5,5,2,5,2,4,5,1,5,2,1,1,1,1,1,1,5,"Nous sommes conscients que l'exposition de notre fils au portugais n'est pas suffisante pour qu'il en développe une réelle maitrise. La situation est toutefois frustrante pour mon conjoint, car notre fille ainée, qui a été beaucoup plus exposée au portugais que notre fils, lui répond systématiquement en français (et refuse catégoriquement de parler portugais). Il est dans une phase de découragement par rapport à l'enseignement de sa langue maternelle aux enfants, c'est donc moi qui fournis un peu plus d'efforts ces derniers temps, tout en étant consciente que ça demeure insuffisant.",fr_3,2017-01-01,1339,magog,FALSE,FALSE,TRUE,FALSE,0,1,1,0,0,0,0,0,FALSE,FALSE,FALSE,0
2020/09/01 5:41:47 pm CET,J'accepte,Au Québec,Montréal,Female,33,Maîtrise (ou équivalent),Prof de cégep,Français,5,4,3,3,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/2019,Female,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Non,NA,NA,NA,NA,English;French,1,5,NA,NA,NA,NA,NA,NA,Anglais,English,4,4,4,5,5,5,5,5,4,5,5,4,4,2,1,2,4,3,3,1,1,2,"J'ai l'impression que je repousse le moment de lui apprendre des mots autre que des noms propres parce que je trouve le bilinguisme compliqué pour elle... En fait, j'ai tendance à lui apprendre d'abord les noms des objets qui sont les mêmes en anglais... Je SAIS que le bilinguisme vient naturellement aux jeunes enfants, mais je ne peux m'empêcher de trouver cela mélangeant pour elle. J'ai peur que mes inquiétudes (irrationnelles) influencent négativement la façon dont je lui apprends à parler.",fr_4,2019-08-01,397,montreal,TRUE,FALSE,FALSE,FALSE,1,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,0
2020/09/01 7:40:18 pm CET,J'accepte,À l’extérieur du Canada,Gatineau,Female,33,Maîtrise (ou équivalent),Fonctionnaire Fédérale,Français et lingala,5,5,5,4,5,5,5,5,Lingala,5,4,3,3,Kikongo,4,4,3,3,Néerlandais,2,2,2,1,03/2018,Male,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Oui,12/2015,NA,NA,NA,English;French;One other language,3,5,lingala,2,NA,NA,NA,NA,Français,English;French,4,5,3,5,5,5,5,5,5,5,5,5,2,5,5,1,1,1,1,1,1,5,ne pas pouvoir lui apprendre plus,fr_5,2018-03-01,915,gatineau,FALSE,FALSE,TRUE,FALSE,1,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,0
2020/09/01 8:36:12 pm CET,J'accepte,Au Québec,Deux-montagnes,Female,34,Maîtrise (ou équivalent),Maman a la maison,Français,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/2020,Male,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Oui,12/2017,NA,NA,NA,English;French,2,4,NA,NA,NA,NA,NA,NA,Anglais;Français,English;French,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,1,3,2,2,1,1,1,Je ne suis pas trop inquiète,fr_6,2020-06-01,92,deux montagnes,FALSE,TRUE,FALSE,FALSE,1,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,0
2020/09/01 8:37:36 pm CET,J'accepte,Au Québec,Laval,Female,39,Baccalauréat (ou équivalent),Spécialiste des documents,Français,5,5,5,5,5,5,5,5,Créole haïtien,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/2019,Male,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Oui,05/2016,NA,NA,NA,English;French,4,4,NA,NA,NA,NA,NA,NA,Anglais;Français,English;French,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,Je n’ai pas d’inquiétude à ce niveau. Sa grande sœur évolue à merveille dans les deux langues et s’avère être une communicative bien au dessus de la moyenne pour son age,fr_7,2019-01-01,609,laval,FALSE,FALSE,TRUE,FALSE,1,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,0
2020/09/01 8:38:51 pm CET,J'accepte,À l’extérieur du Canada,montréal,Female,42,Doctorat (PhD ou MD),chargé de cours à l'université,bulgar,5,5,5,5,5,5,5,5,bulgar,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/2016,Female,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Oui,02/2007,01/2011,NA,NA,English;French;Several other languages,2,4,bulgar,3,farsi,2,NA,NA,Anglais;Français,French;One other language,5,5,5,5,5,5,5,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,"Je ne pense pas beaucoup de ça. Ma grande fille (13 ans), réussi bien à l'école, est 4-lingue et je n'ai pas remarqué des délais dans son développement. Avec ma petite (3 ans), je n'ai même pas le temps d'approfondir ou de perfectionner quoi que ce soit. Elle apprend de sa soeur, son frère et ses parents autant qu'elle peut et ça va bien à date.",fr_8,2016-12-01,1370,montreal,TRUE,FALSE,FALSE,FALSE,0,1,1,1,0,0,1,0,FALSE,FALSE,FALSE,0
2020/09/01 8:56:27 pm CET,J'accepte,Au Québec,Montréal,Female,46,Baccalauréat (ou équivalent),Coordonnatrice de prod tele,français,5,5,5,5,5,5,5,5,Arabe,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/2017,Female,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Non,NA,NA,NA,NA,English;French,5,5,NA,NA,NA,NA,NA,NA,Anglais;Français,One other language,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,2,1,1,1,2,1,Retard dans une des langues,fr_11,2017-02-01,1308,montreal,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,0
2020/09/01 10:11:07 pm CET,J'accepte,Au Québec,Verdun,Female,32,Maîtrise (ou équivalent),Enseignante primaire,Français,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/2019,Male,Non,NA,Avec un(e) partenaire qui vit dans le même foyer,Oui,04/17,NA,NA,NA,English;French;One other language,2,5,coréen,5,NA,NA,NA,NA,Anglais,One other language,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,1,1,1,2,1,1,3,NA,fr_13,2019-05-01,489,verdun,TRUE,FALSE,FALSE,FALSE,0,1,1,1,0,0,1,1,FALSE,FALSE,FALSE,0
2020/09/01 11:35:02 pm CET,J'accepte,À l’extérieur du Québec mais au Canada,Montreal,Female,44,Baccalauréat (ou équivalent),musicienne,français,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/2017,Female,Non,NA,Avec un(e) partenaire qui vit dans un autre foyer,Non,NA,NA,NA,NA,English;French,2,5,NA,NA,NA,NA,NA,NA,Anglais,English,5,4,4,5,5,5,5,5,5,4,4,5,1,1,1,1,2,1,1,1,1,1,aucune préoccupation,fr_14,2017-02-01,1308,montreal,TRUE,FALSE,FALSE,FALSE,1,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,0
